frequency	smiles	generic_name
1	O=C1NC=Nc2c1[nH]nc2	C5H4N4O
2	O=C1N=CNc2c1nc[nH]2	C5H4N4O
5	O=C1NC=Nc2c1nc[nH]2	C5H4N4O
1	O=C1N=CNn2c1cnc2	C5H4N4O
1	O=C1NC=Nc2c1cn[nH]2	C5H4N4O
3	c1ccc2nccnc2c1	C8H6N2
2	c1ccc(cnnc2)c2c1	C8H6N2
1	C1N=CN=C2C=CC=CC12	C8H8N2
11	c1ccc2ncncc2c1	C8H6N2
1	O=C1NC=NC11CCCC1	C7H10N2O
5	O=C1Nc(cccc2)c2N1	C7H6N2O
3	c1ccc(cncc2)c2c1	C9H7N
7	C(CNC1)c2c1cccc2	C9H11N
2	C(CC1)C[C@@H]2[C@H]1CNCC2	C9H17N
1	C(C1)CNc2c1cccc2	C9H11N
20	c1ccc2ncccc2c1	C9H7N
1	C1Nc(cccc2)c2C=C1	C9H9N
4	C(C[NH2+]C1)c2c1cccc2	C9H12N
4	c1ccc2[nH+]cccc2c1	C9H8N
1	O=C1Oc(cccc2)c2N1	C7H5NO2
2	O=C(C1)Nc2c1cccc2	C8H7NO
3	O=C1NCc2c1cccc2	C8H7NO
1	O=C(CCC1)c2c1[nH]cc2	C8H9NO
1	O=C1N[Se]c2c1cccc2	C7H5NOSe
2	O=C(C1)N(CC2)[C@@H]1S2(=O)=O	C5H7NO3S
1	O=C1N=CNc2c1[nH]nn2	C4H3N5O
1	O=C1NC=Nc2c1nn[nH]2	C4H3N5O
1	O=C(NN=N1)n2c1cnc2	C4H3N5O
1	O=C1NCCc2c1[nH]nc2	C6H7N3O
1	O=C1NCc2nccnc12	C6H5N3O
1	O=C1N(C=CC=C2)C2=NN1	C6H5N3O
1	O=C1NC=Nc2c1cc[nH]2	C6H5N3O
7	O=C1Oc(cccc2)c2C=C1	C9H6O2
2	O=C(C1)c(cccc2)c2C1=O	C9H6O2
11	O=C1c(cccc2)c2OC=C1	C9H6O2
1	O=C1c(cccc2)c2OCC1	C9H8O2
1	O=S(CCC1)(c2c1ccs2)=O	C7H8O2S2
2	O=C(CCC1)c2c1cccc2	C10H10O
12	O=C(c1c(N2)nc[nH]1)NC2=O	C5H4N4O2
1	O=C1N=CNc2nccnc12	C6H4N4O
1	O=C1N=CNC2=C1NCCN2	C6H8N4O
1	O=C(NC1)OC11CCNCC1	C7H12N2O2
1	N=C(C=C(CCN1)C1=C1)C1=O	C8H8N2O
1	O=C1NN=Cc2c1cccc2	C8H6N2O
1	O=C1NC=Nc2c1cccc2	C8H6N2O
2	O=C1NCNc2c1cccc2	C8H8N2O
2	O=C1N(C=CC=C2)C2=NC=C1	C8H6N2O
2	O=C1N(CCCC2)C2=NC=C1	C8H10N2O
3	O=C(C=CN1)c2c1nccc2	C8H6N2O
1	C(CNCC1)c2c1cccc2	C10H13N
1	C1Cc(cccc2)c2NCC1	C10H13N
1	O=C1Nc(cccc2)c2OC1	C8H7NO2
2	O=C(c1c2cccc1)NC2=O	C8H5NO2
1	O=C([C@H]1[C@@H]2CCCC1)NC2=O	C8H11NO2
1	O=C1OCc(cccc2)c2N1	C8H7NO2
1	O=S1(NCCc2c1scc2)=O	C6H7NO2S2
2	O=S1(NC=Cc2c1ccs2)=O	C6H5NO2S2
2	O=C1Nc(cccc2)c2C=C1	C9H7NO
3	O=C(CC1)Nc2c1cccc2	C9H9NO
1	C=C(c(cccc1)c1N1)C1=O	C9H7NO
21	O=C1c(cccc2)c2NC=C1	C9H7NO
1	N=C1N=NC=C2C=CC=CC12	C8H7N3
2	O=C1NCNC11CCNCC1	C7H13N3O
2	O=C(C=CN1)c2c1ncnc2	C7H5N3O
1	O=C(CCCO1)OCCC1=O	C7H10O4
1	C(C1)Cc2c1ccc1c2CCO1	C11H12O
1	C1O[C@H]2[C@@H]3OCOC3OC[C@H]2O1	C7H10O5
1	C1C2c(cccc3)c3N[C@@H]2NC1	C10H12N2
2	C1C2c(cccc3)c3N[C@H]2NC1	C10H12N2
1	C(CC1)C[N+]11[C@@H]2CCC[C@H]1CC2	C11H20N
1	O=C([C@H]1[C@@H]2[C@H]3C[C@@H]1CC3)NC2=O	C9H11NO2
1	O=C(C1)[C@H]2C[C@H](CCC3)N1[C@H]3C2	C10H15NO
1	O=C(C=C1)c(cccc2)c2C1=O	C10H6O2
1	O=S(CCC1)(c2c1cccc2)=O	C9H10O2S
1	O=C(c(cccc1)c1N1)NC1=O	C8H6N2O2
3	O=S1(NC=Nc2c1cccc2)=O	C7H6N2O2S
7	O=S1(NCNc2c1cccc2)=O	C7H8N2O2S
1	O=C1N(CCCC2)N2CCCC1	C9H16N2O
1	C1CCc2cccnc2CCC1	C11H15N
1	O=C(CC1(CCCC1)C1)NC1=O	C9H13NO2
1	O=C(Cc1c2cccc1)NC2=O	C9H7NO2
4	O=S1(NC=Cc2c1cccc2)=O	C8H7NO2S
1	O=C(C1)NCCc2c1cccc2	C10H11NO
1	O=C(CCC1)Nc2c1cccc2	C10H11NO
1	C(COC1)NCc2c1cccc2	C10H13NO
1	O=C1Nc(cccc2)c2SCC1	C9H9NOS
1	O=C(c1c2cccc1)NS2(=O)=O	C7H5NO3S
1	c(cc1)cc2c1sc1c2cccc1	C12H8S
2	C(CNC1)c2c1c(cccc1)c1[nH]2	C11H12N2
2	c(cc1)cc2c1[nH]c1c2cccc1	C12H9N
2	C1Oc(cc(CNCC2)c2c2)c2O1	C10H11NO2
1	C(COC1)c2c1[nH]c1c2cccc1	C11H11NO
1	c1nc(cnc2ccccc22)c2[nH]1	C10H7N3
2	C1CNCCNCCCNCCNC1	C10H24N4
1	c1cc2ccc(cccc3)c3c2cc1	C14H10
1	C1c(cccc2)c2Sc2c1cccc2	C13H10S
1	C1CC2(O[C@H](COCC3)[C@H]3O2)OCC1	C10H16O4
2	C1c(cccc2)c2Oc2c1cccc2	C13H10O
3	O=C(C=C1)Oc2c1cc(cco1)c1c2	C11H6O3
1	O=C1c(cc(cco2)c2c2)c2OC=C1	C11H6O3
1	c1csc2c1C=Nc(cccc1)c1N2	C11H8N2S
1	O=C(C=C1)c2c3N1NCOc3ccc2	C10H8N2O2
1	O=C1NCCc2c1c(cccc1)c1[nH]2	C11H10N2O
3	O=C1N(CC(N2[C@H]3CCC2)=O)C3OC1	C9H12N2O3
1	O=C1c(cc2OCOc2c2)c2NN=C1	C9H6N2O3
3	c1cc2cc3ccccc3nc2cc1	C13H9N
2	C1Cc2cc3ccccc3nc2CC1	C13H13N
1	C(CC1)C[C@@H]2N1CCc1c2cccc1	C13H17N
1	c1ccc2c3ccccc3[nH+]cc2c1	C13H10N
20	c(cc1)cc2c1Sc(cccc1)c1N2	C12H9NS
1	O=C1c(cccc2OCC3)c2N3C=C1	C11H9NO2
1	O=C1NC[C@@H]2c3c1cccc3CCC2	C12H13NO
1	O=C(CCC1)c2c1[nH]c1c2cccc1	C12H11NO
1	C1c2cccnc2Oc2c1cccc2	C12H9NO
2	O=C1c(cccc2CCC3)c2N3C=C1	C12H11NO
1	O=C1c2cccc(SCC3)c2N3C=C1	C11H9NOS
1	O=C1c(cc2OCOc2c2)c2NC=C1	C10H7NO3
1	C(CNc1c-2cccc1)c1c2[nH]cn1	C11H11N3
1	O=C(C1)N=C2N1Cc(cccc1)c1N2	C10H9N3O
1	O=C(CN1C2)NC1=Nc1c2cccc1	C10H9N3O
1	C1c(cccc2)c2C=Cc2c1cccc2	C15H12
1	C(Cc1c(C2)cccc1)c1c2cccc1	C15H14
2	C=C1c(cccc2)c2Sc2c1cccc2	C14H10S
1	C(C1)c(cccc2)c2Sc2c1cccc2	C14H12S
1	c(cc1)cc2c1Sc(cccc1)c1C=C2	C14H10S
1	O=C1C2O[C@H](CCCC3)[C@@H]3O[C@@H]2OCC1	C11H16O4
2	O=C(CC1)[C@@H]2[C@@]11CCCCCC2CCC1	C14H22O
1	O=C(c1c(C2)cccc1)c1c2cccc1	C14H10O
1	O=C1c(cccc2)c2Sc2c1cccc2	C13H8OS
1	c(cc1)cc2c1Nc(cccc1)c1N=C2	C13H10N2
1	O=C(CNC1)N(CC2)C1c1c2cccc1	C12H14N2O
1	O=C1Nc(cccc2)c2Nc2cscc12	C11H8N2OS
5	C(C1)c(cccc2)c2Nc2c1cccc2	C14H13N
2	c(cc1)cc2c1Nc(cccc1)c1C=C2	C14H11N
2	c(cc1)cc2c1Sc(cccc1)c1N=C2	C13H9NS
1	O=C1c(cccn2)c2Oc2c1cccc2	C12H7NO2
2	c(cc1)cc2c1Oc(cccc1)c1N=C2	C13H9NO
1	N=C1C=C2Nc(cccc3)c3N=C2C=C1	C12H9N3
1	O=C(CC1=O)N2N1c(cccc1)c1N=C2	C10H7N3O2
1	O=C1NCc2cncn2-c2c1cccc2	C11H9N3O
3	O=C(CCCCCCC1)CCCCOC1=O	C13H22O3
1	O=C1OCCCCNCCCCCCCC1	C13H25NO2
1	N=C(CCCCCCC1)CCCCOC1=O	C13H23NO2
1	O=C(C(C1)C2C3[C@@]45OC5C2)O[C@H]1[C@H]3OC4=O	C11H10O5
2	C=C(c1c(CC2)cccc1)c1c2cccc1	C16H14
2	C=C1c(cccc2)c2C=Cc2c1cccc2	C16H12
1	C=C1c(cccc2)c2SCc2c1cccc2	C15H12S
3	O=C(c1c2cccc1)c(cccc1)c1C2=O	C14H8O2
2	C=C1c(cccc2)c2OCc2c1cccc2	C15H12O
1	O=C(C1)c(cccc2)c2Sc2c1cccc2	C14H10OS
1	C=C([C@H](CC/C=C/CC[C@H]1O[C@H]11)[C@@H]1O1)C1=O	C13H16O3
1	O=C1c(cccc2)c2O[C@@]1(CC1)C=CC1=O	C13H10O3
1	O=C(c1c(N2)nccc1)Nc1c2nccc1	C11H8N4O
1	O=C1Nc(cccc2)c2Nc2c1cccc2	C13H10N2O
1	O=C(C1)c(cccc2)c2Nc2c1cccc2	C14H11NO
1	O=C(c(cccc1)c1N1)Nc2c1nccc2	C12H9N3O
1	C(CC1c2c3cccc2)C3c2c1cccc2	C16H14
1	C1C[C@H](CC2)[C@]34OOC2O[C@H]3OCC[C@@H]4C1	C12H18O4
1	C(CC1NCC2)Cc3c1n2c1c3cccc1	C14H16N2
2	C(CN[C@@H]1Cc2c[nH]3)C=C1c1c2c3ccc1	C14H14N2
3	C(C1)CN[C@H](Cc2c[nH]3)[C@H]1c1c2c3ccc1	C14H16N2
2	C(C1)CN[C@H](Cc2c[nH]3)C1c1c2c3ccc1	C14H16N2
1	C([C@@H]1N[C@H]2c3c1cccc3)c1c2cccc1	C15H13N
1	C([C@H]1N[C@@H]2c3c1cccc3)c1c2cccc1	C15H13N
1	C(C1CNC2)C2c2c1cc1nccnc1c2	C13H13N3
2	C1C=CC(CC2)[C@@H]1[C@H]1[C@H]2C(CCCC2)C2=CC1	C17H24
1	C(CC1CC2)C[C@H]1[C@H]1[C@H]2C(CCCC2)C2=CC1	C17H26
2	C(CC1CC2)C[C@H]1[C@H](CC1)[C@H]2[C@@H]2C1=CCCC2	C17H26
1	C(CC1CC2)CC1[C@H](CC1)[C@H]2C2C1=CCCC2	C17H26
8	C(CC1CC2)C[C@H]1[C@H](CC1)[C@H]2c2c1cccc2	C17H22
3	C(CC1CC2)C[C@H]1[C@H]1[C@H]2C(CCCC2)[C@@H]2CC1	C17H28
2	C(CC1CC2)C[C@H]1[C@H]1[C@H]2C(CCCC2)[C@H]2CC1	C17H28
1	C(CC1CC2)CC1[C@H]1[C@H]2C(CCCC2)C2CC1	C17H28
4	C(CC1CC2)CC1[C@H]1[C@H]2C(CCCC2)[C@@H]2CC1	C17H28
3	O=C1OC[C@H](C2)[C@H]1Cc1c2cc2OCOc2c1	C13H12O4
1	O=C(C[C@@H]1CCC2)O[C@@H]3OC4OO[C@@]13[C@H]2CC4	C12H16O5
1	c(cc1)cc([SH-]2)[n+]1[O-][zn]21sc(cccc2)[n+]2o1	C10H10N2O2S2Zn
1	C(CC1)C[C@H]([C@H](C2)NCC3)[C@]13c1c2cccc1	C16H21N
2	C1c2cccc(-c3c(C4)cccc3)c2[C@@H]4NC1	C16H15N
1	C(CC=C[C@]12CCNC3)[C@@H]2Oc2c1c3ccc2	C15H17NO
2	O=C1OCC/C=C/C=C/CCCCCCCC1	C15H24O2
2	O=C1C=C(CCCc2c3cccc2)C3=CC=C1	C16H14O
1	O=S(c1c(C2)cccc1)(Nc1c2cccc1)=O	C13H11NO2S
2	O=C(CCCCCCC1)/C=C/C=C/CCOC1=O	C15H22O3
1	C(CC1CC2)C[C@H]1[C@H](CC1)[C@H]2C2[C@@]11O[C@@H]1C=CC2	C17H24O
